,source,target,source_node_size,edge_size
0,CryptoFAQs,Crypto,703,6
2,CryptoFAQs,LearnToTrade,703,1
3,CryptoFAQs,TermsConditions,703,2
4,CryptoFAQs,ListMeBot,703,1
6,CryptoFAQs,CryptoJobs,703,1
7,CryptoFAQs,ListMebot,703,1
8,CryptoFAQs,SetupGuide,703,1
9,CryptoFAQs,Resolutions,703,2
13,CryptoFAQs,Contribute,703,1
14,CryptoFAQs,Listmebot,703,1
0,AirDrops,listmebot,9040,1
1,AirDrops,Crypto,9040,1
2,AirDrops,CeoCry,9040,1
3,AirDrops,ariaeren,9040,1
4,AirDrops,ConjeeNFT,9040,1
5,AirDrops,stellatop,9040,1
6,AirDrops,Bi_ML,9040,1
7,AirDrops,ap2627,9040,1
8,AirDrops,PancakeForkAdmin,9040,1
9,AirDrops,CoinJoy,9040,2
10,AirDrops,Whofuckareu,9040,1
11,AirDrops,Zack1978,9040,1
12,AirDrops,gigaswapdexbot,9040,1
13,AirDrops,GuerilaTokenOfficial,9040,1
14,AirDrops,GuerillaToken,9040,1
15,AirDrops,GuerillatokenAdmin,9040,1
16,AirDrops,projectperseus,9040,1
17,AirDrops,Hakins79,9040,1
18,AirDrops,jibi332,9040,1
20,AirDrops,LCMS_COIN,9040,1
21,AirDrops,olympfi_chat,9040,1
22,AirDrops,olympfi_channel,9040,1
23,AirDrops,Apeology,9040,1
24,AirDrops,Sirlibz12,9040,1
25,AirDrops,ltt_ntk,9040,1
0,CryptoAlerts,listmebot,19800,1
1,CryptoAlerts,vote,19800,2
2,CryptoAlerts,unfolded,19800,3
0,CryptoBots,Crypto,2510,5
1,CryptoBots,ListMebot,2510,2
2,CryptoBots,CryptoFAQs,2510,2
4,CryptoBots,AntiChineseSpambot,2510,1
5,CryptoBots,BitchSlapperbot,2510,1
6,CryptoBots,SetupGuide,2510,5
7,CryptoBots,CryptoGroupsbot,2510,2
9,CryptoBots,Combot,2510,2
10,CryptoBots,CyberSniperBot,2510,1
11,CryptoBots,DaySandBox_bot,2510,1
12,CryptoBots,Hal9000CGbot,2510,1
14,CryptoBots,PimpSlapperbot,2510,1
15,CryptoBots,Shieldy_bot,2510,1
18,CryptoBots,CryptoManagebot,2510,1
20,CryptoBots,GroupButler_bot,2510,1
